episode,n_frames,duration_s,true_hz,pct_dropped,worst_gap_ms,debris_end,peak_err_left_j4,mean_grip_err
episode_0000,554,56.9,9.74,54.2,134.0,0.012,0.244,0.0995
episode_0001,628,58.8,10.67,40.6,134.0,0.06,0.214,0.1061
episode_0002,566,50.9,11.12,35.0,134.0,0.008,0.221,0.0854
episode_0003,664,59.6,11.15,34.6,134.0,0.241,0.35,0.0929
episode_0004,520,47.0,11.06,35.8,134.0,0.02,0.325,0.105
episode_0005,599,53.8,11.14,34.7,134.0,0.026,0.317,0.0798
episode_0006,524,47.9,10.94,37.2,134.0,0.065,0.291,0.0623
episode_0007,547,49.0,11.16,34.6,134.0,0.102,0.286,0.0676
episode_0008,543,48.2,11.26,33.3,134.0,0.053,0.31,0.0874
episode_0009,564,50.4,11.18,34.2,134.0,0.134,0.305,0.0576
episode_0010,624,56.8,10.99,36.5,134.0,0.097,0.292,0.0638
episode_0011,613,54.3,11.29,33.0,134.0,0.065,0.304,0.0705
episode_0012,666,58.9,11.31,32.7,134.0,0.029,0.361,0.0564
episode_0013,672,60.5,11.11,35.1,134.0,0.051,0.343,0.0708
episode_0014,610,54.5,11.19,34.1,134.0,0.025,0.304,0.0781
episode_0015,555,50.1,11.08,35.5,134.0,0.056,0.334,0.0683
episode_0016,491,44.9,10.94,37.3,134.0,0.045,0.329,0.0689
episode_0017,502,45.4,11.07,35.7,134.0,0.023,0.391,0.0717
episode_0018,562,52.3,10.74,39.7,134.0,0.043,0.353,0.0762
episode_0019,561,50.4,11.12,34.9,134.0,0.053,0.354,0.0495
episode_0020,542,48.8,11.1,35.2,134.0,0.052,0.342,0.0692
episode_0021,525,48.3,10.87,38.1,134.0,0.097,0.551,0.066
episode_0022,455,40.3,11.29,33.0,134.0,0.047,0.416,0.0928
episode_0023,472,42.8,11.02,36.2,134.0,0.032,0.627,0.079
episode_0024,333,30.4,10.97,36.9,134.0,0.091,0.358,0.0929
episode_0025,470,42.2,11.13,34.9,134.0,0.012,0.134,0.0803
episode_0026,478,42.7,11.2,34.1,134.0,0.019,0.184,0.0838
episode_0027,138,11.9,11.56,30.4,134.0,1.222,0.231,0.0272
episode_0028,406,36.9,11.0,36.5,134.0,0.009,0.576,0.0746
episode_0029,406,37.1,10.95,37.2,134.0,0.285,0.604,0.0564
episode_0030,434,40.0,10.84,38.5,135.0,0.006,0.566,0.078
episode_0031,465,42.2,11.01,36.3,134.0,0.028,0.657,0.0632
episode_0032,444,39.9,11.13,34.9,134.0,0.075,0.572,0.0702
episode_0033,505,45.8,11.02,36.2,134.0,0.018,0.551,0.076
episode_0034,482,42.2,11.41,31.5,134.0,0.264,0.645,0.0855
episode_0035,402,37.0,10.88,38.1,134.0,0.054,0.424,0.0586
episode_0036,509,46.2,11.01,36.3,134.0,0.112,0.617,0.0931
episode_0037,471,42.0,11.21,34.0,134.0,0.065,0.659,0.0774
episode_0038,523,46.2,11.31,32.7,134.0,0.108,0.658,0.0562
episode_0039,466,42.1,11.07,35.6,134.0,0.028,0.287,0.0594
episode_0040,503,47.1,10.68,40.6,134.0,0.037,0.61,0.0485
episode_0041,499,44.3,11.26,33.3,134.0,0.12,0.607,0.0735
episode_0042,473,42.8,11.04,35.9,134.0,0.034,0.653,0.0819
episode_0043,500,46.2,10.81,38.8,134.0,0.094,0.627,0.076
episode_0044,553,48.7,11.35,32.2,134.0,0.024,0.56,0.0632
episode_0045,503,44.8,11.24,33.6,134.0,0.044,0.63,0.0679
episode_0046,456,41.2,11.08,35.5,134.0,0.038,0.665,0.047
episode_0047,435,39.0,11.15,34.7,134.0,0.05,0.574,0.0648
episode_0048,501,47.0,10.67,36.1,1211.0,0.028,0.681,0.059
episode_0049,464,41.2,11.27,33.2,134.0,0.04,0.643,0.0564
episode_0050,445,39.0,11.4,31.7,134.0,0.04,0.513,0.0519
episode_0051,474,42.2,11.24,33.5,134.0,0.055,0.544,0.0664
episode_0052,428,37.6,11.39,31.8,134.0,0.129,0.454,0.0638
episode_0053,487,43.3,11.25,33.5,134.0,0.014,0.548,0.074
episode_0054,442,38.9,11.36,32.1,134.0,0.033,0.6,0.0655
episode_0055,418,37.0,11.31,32.8,134.0,0.025,0.616,0.0645
episode_0056,480,42.6,11.26,33.3,134.0,0.074,0.371,0.061
episode_0057,427,38.2,11.19,34.2,134.0,0.063,0.389,0.0548
episode_0058,462,41.3,11.19,34.2,134.0,0.053,0.359,0.0606
episode_0059,477,41.6,11.46,31.0,134.0,0.091,0.67,0.0542
episode_0060,479,42.2,11.36,32.2,134.0,0.074,0.596,0.0582
episode_0061,428,38.6,11.1,35.3,134.0,0.0,0.367,0.06
episode_0062,526,46.2,11.38,31.9,134.0,0.0,0.211,0.0544
episode_0063,460,40.4,11.38,32.0,134.0,0.024,0.434,0.0533
episode_0064,463,40.4,11.47,30.9,134.0,0.095,0.353,0.0602
